Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"6086 Szalkszentmárton, Külterület hrsz. 06/8. (oil)","Szalkszentmárton, Külterület hrsz. 06/8.",Szalkszentmárton,6086,oil,0,https://holtankoljak.net/oil_Szalkszentmarton_Kulterulethrsz068
"2837 Vértesszőlős, Határ u. 1-3. (mol)","Vértesszőlős, Határ u. 1-3.",Vértesszőlős,2837,mol,0,https://holtankoljak.net/mol_vertesszolos_hataru1-3
"2316 Tököl, Ledina dűlő 4. (ersto_kft_)","Tököl, Ledina dűlő 4.",Tököl,2316,ersto_kft_,0,https://holtankoljak.net/ersto_kft__Tokol_Ledinadulo4
"8752 Zalakomár, 8752 észak - INA benzikút M7 (mol)","Zalakomár, 8752 észak - INA benzikút M7",Zalakomár,8752,mol,1,https://holtankoljak.net/mol_zalakomar_8752eszak-inabenzikutm7#tartalom
"2660 Balassagyarmat, Rákóczi fejedelem út 129. (oil)","Balassagyarmat, Rákóczi fejedelem út 129.",Balassagyarmat,2660,oil,0,https://holtankoljak.net/oil_Balassagyarmat_Rakoczifejedelemut129
"7092 Nagykónyi, Vásártér (magán)","Nagykónyi, Vásártér",Nagykónyi,7092,magán,0,https://holtankoljak.net/magan_Nagykonyi_Vasarter
"1117 Budapest XI, Budafoki út 209-215. (shell)","Budapest XI, Budafoki út 209-215.",Budapest XI,1117,shell,0,https://holtankoljak.net/shell_budapest_xi_budafokiut209-215
"3700 Kazincbarcika, 26. sz. főút B.C 4-es porta 3928 hrsz. (mol)","Kazincbarcika, 26. sz. főút B.C 4-es porta 3928 hrsz.",Kazincbarcika,3700,mol,0,https://holtankoljak.net/mol_kazincbarcika_26szfoutbc4-esporta3928hrsz#tartalom
"4400 Nyíregyháza, külterület 01199/2 hrsz. (lukoil)","Nyíregyháza, külterület 01199/2 hrsz.",Nyíregyháza,4400,lukoil,0,https://holtankoljak.net/lukoil_Nyiregyhaza_kulterulet011992hrsz
"1087 Budapest VIII, Könyves Kálmán krt. 76. (Könyves/Kőbányai sarok (omv)","Budapest VIII, Könyves Kálmán krt. 76.",Budapest VIII,1087,omv,0,https://holtankoljak.net/omv_budapest_viii_konyveskalmankrt76konyveskobanyaisarok
"6060 Tiszakécske, Szolnoki u.  (mol)","Tiszakécske, Szolnoki u.",Tiszakécske,6060,mol,0,https://holtankoljak.net/mol_Tiszakecske_Szolnokiu
"1158 Budapest XV, Rákospalotai határút 14. (magán)","Budapest XV, Rákospalotai határút 14.",Budapest XV,1158,magán,0,https://holtankoljak.net/magan_budapest_xv_rakospalotaihatarut14
"9730 Kőszeg, Szombathelyi út 2. (omv)","Kőszeg, Szombathelyi út 2.",Kőszeg,9730,omv,0,https://holtankoljak.net/omv_Koszeg_Szombathelyiut2
"1164 Budapest XVI, Szabadföldi út 81. (mol)","Budapest XVI, Szabadföldi út 81.",Budapest XVI,1164,mol,0,https://holtankoljak.net/mol_Budapest_Szabadfoldiut81
"6100 Kiskunfélegyháza, Izsáki út 22. (magán)","Kiskunfélegyháza, Izsáki út 22.",Kiskunfélegyháza,6100,magán,0,https://holtankoljak.net/katep_tuker_kft__kiskunfelegyhaza_izsakiut22
"5800 Mezőkovácsháza, Vásárhelyi út 1. (mol)","Mezőkovácsháza, Vásárhelyi út 1.",Mezőkovácsháza,5800,mol,0,https://holtankoljak.net/mol_Mezokovacshaza_Vasarhelyiut1
"2049 Diósd, Balatoni út 19. (mobil_gaz_kft)","Diósd, Balatoni út 19.",Diósd,2049,mobil_gaz_kft,0,https://holtankoljak.net/mobil_gaz_kft_Diosd_Balatoniut19
"1173 Budapest XVII, Esztena u. 1. (lukoil)","Budapest XVII, Esztena u. 1.",Budapest XVII,1173,lukoil,0,https://holtankoljak.net/lukoil_budapest_xvii_esztenau1
"2890 Tata, Ring u. 1. (M1 autópálya lehajtó) (shell)","Tata, Ring u. 1.",Tata,2890,shell,0,https://holtankoljak.net/shell_tata_ringu1m1autopalyalehajto
"1106 Budapest X, Maglódi út - Jászberényi út sarok (omv)","Budapest X, Maglódi út - Jászberényi út sarok",Budapest X,1106,omv,0,https://holtankoljak.net/omv_budapest_x_maglodiut-jaszberenyiutsarok
"1087 Budapest VIII, Hős u. 9. (VIII.) (mol)","Budapest VIII, Hős u. 9.",Budapest VIII,1087,mol,0,https://holtankoljak.net/mol_budapest_hosu9viii
"4300 Nyírbátor, Császári út (mol)","Nyírbátor, Császári út",Nyírbátor,4300,mol,0,https://holtankoljak.net/mol_Nyirbator_Csaszariut
"6050 Lajosmizse, M5, Lajosmizse nyugat (shell)","Lajosmizse, M5, Lajosmizse nyugat",Lajosmizse,6050,shell,1,https://holtankoljak.net/shell_lajosmizse_m5lajosmizsekelet#tartalom
"2040 Budaörs, Sport u. 2-4. (auchan)","Budaörs, Sport u. 2-4.",Budaörs,2040,auchan,0,https://holtankoljak.net/auchan_budaors_sportu2-4
"6783 Ásotthalom, 3/13 hrsz. (edo)","Ásotthalom, 3/13 hrsz.",Ásotthalom,6783,edo,0,https://holtankoljak.net/edo_asotthalom_313hrsz
"3770 Sajószentpéter, Kossuth Lajos út (mol)","Sajószentpéter, Kossuth Lajos út",Sajószentpéter,3770,mol,0,https://holtankoljak.net/mol_Sajoszentpeter_KossuthLajosut
"1204 Budapest XX, Mártírok útja 281. (shell)","Budapest XX, Mártírok útja 281.",Budapest XX,1204,shell,0,https://holtankoljak.net/shell_budapest_xx_martirokutja281
"1204 Budapest XX, Nagykőrösi út 185 (omv)","Budapest XX, Nagykőrösi út 185",Budapest XX,1204,omv,0,https://holtankoljak.net/omv_budapest_xx_nagykorosiut185
"3348 Szilvásvárad, Egri út 34. (mol)","Szilvásvárad, Egri út 34.",Szilvásvárad,3348,mol,0,https://holtankoljak.net/mol_Szilvasvarad_Egriut34
"5100 Jászberény, Szt. István krt. (shell)","Jászberény, Szt. István krt.",Jászberény,5100,shell,0,https://holtankoljak.net/shell_Jaszbereny_SztIstvankrt
"5300 Karcag, Kisújszállási u. 34. (shell)","Karcag, Kisújszállási u. 34.",Karcag,5300,shell,0,https://holtankoljak.net/shell_Karcag_Kisujszallasiu34
"7030 Paks, 6. sz. főút 110 km. (omv)","Paks, 6. sz. főút 110 km.",Paks,7030,omv,0,https://holtankoljak.net/omv_Paks_6szfout110km
"8600 Siófok, Fő u. 234. (Magán kút)","Siófok, Fő u. 234.",Siófok,8600,Magán kút,0,https://holtankoljak.net/Magan_kut_Siofok_Fou234
"7342 Mágocs, Vásártér 896/8 hrsz (Ady E u 79/b) (magán)","Mágocs, Vásártér 896/8 hrsz",Mágocs,7342,magán,0,https://holtankoljak.net/magan_magocs_vasarter8968hrszadyeu79b
"9200 Mosonmagyaróvár, Jánossomorjai út 1. (oil)","Mosonmagyaróvár, Jánossomorjai út 1.",Mosonmagyaróvár,9200,oil,0,https://holtankoljak.net/oil_Mosonmagyarovar_Janossomorjaiut1
"1098 Budapest IX, Napfény u. 26. (IX.) (mol)","Budapest IX, Napfény u. 26.",Budapest IX,1098,mol,0,https://holtankoljak.net/mol_budapest_napfenyu26ix
"8400 Ajka, Fő út 66. (shell)","Ajka, Fő út 66.",Ajka,8400,shell,0,https://holtankoljak.net/shell_Ajka_Fout66
"8654 Ságvár, Fő utca 2. (Tabol)","Ságvár, Fő utca 2.",Ságvár,8654,Tabol,0,https://holtankoljak.net/tabol_kft__sagvar_foutca2
"1173 Budapest XVII, Pesti út 18. (omv)","Budapest XVII, Pesti út 18.",Budapest XVII,1173,omv,0,https://holtankoljak.net/omv_budapest_xvii_pestiut18
"3527 Miskolc, József Attila út 47. (Mobil Petrol)","Miskolc, József Attila út 47.",Miskolc,3527,Mobil Petrol,0,https://holtankoljak.net/Mobil_Petrol_Miskolc_JozsefAttilaut47
"3450 Mezőcsát, Kossuth u. (mol)","Mezőcsát, Kossuth u.",Mezőcsát,3450,mol,0,https://holtankoljak.net/mol_Mezocsat_Kossuthu
"6800 Hódmezővásárhely, Kutasi út 61. (lukoil)","Hódmezővásárhely, Kutasi út 61.",Hódmezővásárhely,6800,lukoil,0,https://holtankoljak.net/lukoil_Hodmezovasarhely_Kutasiut61
"3903 Bekecs, Honvéd út 228. (magán)","Bekecs, Honvéd út 228.",Bekecs,3903,magán,0,https://holtankoljak.net/tobor_bt__bekecs_honvedut228
"5000 Szolnok, Gábor Áron tér (mol)","Szolnok, Gábor Áron tér",Szolnok,5000,mol,0,https://holtankoljak.net/mol_Szolnok_Gaboraronter
