City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Pere,488,121.0,17.9,16.1,852,2.7,58.4,32.3,447,287.9,9.0,34.0,1908,20.7
Zsujta,553,,23.8,24.2,1065,4.2,88.8,44.8,441,409.9,14.0,26.0,2417,42.1
Sima,488,,9.1,16.3,1972,,85.7,63.6,595,558.1,8.0,167.0,3313,50.0
Boldogkőváralja,392,37.0,10.7,19.0,1357,,90.5,40.9,542,278.8,90.0,3.0,2503,32.7
Abaújvár,581,,17.2,15.4,654,7.7,79.3,43.8,307,207.5,15.0,20.0,2130,14.0
Abaújalpár,1157,,34.7,29.4,1373,,59.3,38.8,594,725.5,5.0,83.0,2310,8.3
Arka,1595,,,57.1,1872,,97.0,71.4,486,761.9,11.0,77.0,3850,30.8
Abaújkér,507,122.0,13.3,21.3,1162,,82.8,40.4,512,332.8,27.0,5.0,2271,50.0
Baskó,548,,2.1,34.9,1572,10.5,100.0,51.1,546,415.7,23.0,34.0,2877,17.2
Felsődobsza,361,46.0,25.0,19.0,1066,0.8,94.6,36.6,460,241.7,27.0,8.0,2318,33.1
